venue_game_no,ppg_venue
1,3.0
2,1.5
3,2.0
4,2.25
5,2.4
6,2.5
7,2.142857142857143
8,1.875
9,2.0
10,2.1
11,2.1818181818181817
12,2.25
13,2.3076923076923075
14,2.142857142857143
15,2.2
16,2.25
17,2.176470588235294
18,2.2222222222222223
19,2.263157894736842
20,2.2
21,2.142857142857143
22,2.1818181818181817
23,2.217391304347826
